31 4 5 6
6 19 24 6 25
27 20 26 16 30
8 13 20 5 16
4 3 18 29 23
28 18 22 29 30
11 16 27 26 2
15 14 5 16 19
7 2 5 15 21
30 14 24 5 17
19 27 9 14 7
1 8 1 27 24
9 28 29 12 18
14 15 12 22 15
15 10 13 4 26
19 24 9 8 24
15 6 12 10 13
7 7 18 25 26
29 28 17 26 21
23 9 22 12 17
2 24 17 18 25
22 0 24 11 12
15 17 11 4 25
23 11 18 18 12
14 14 23 26 11
1 16 6 2 24
12 24 12 15 4
14 11 15 7 25
30 21 6 27 25
3 17 16 29 26
23 27 5 2 21
7 14 4 13 10
7 22 18 6 23
23 8 9 5 11
28 24 9 4 15
2 20 3 8 14
29 22 4 10 26
11 19 10 11 25
8 18 20 27 2
24 26 10 21 30
14 3 24 11 3
30 24 3 1 3
18 11 10 13 24
23 28 5 10 9
30 16 24 9 10
4 13 11 5 2
29 12 16 1 3
2 10 15 8 0
24 0 8 16 5
